puntos,comision,produccion
6982,0.02,139640.0
6983,0.02,139660.0
6984,0.02,139680.0
6985,0.02,139700.0
6986,0.02,139720.0
6987,0.02,139740.0
6988,0.02,139760.0
6989,0.02,139780.0
6990,0.02,139800.0
6991,0.02,139820.0
6992,0.02,139840.0
6993,0.02,139860.0
6994,0.02,139880.0
6995,0.02,139900.0
6996,0.02,139920.0
6997,0.02,139940.0
6998,0.02,139960.0
6999,0.02,139980.0
7000,0.02,140000.0
7001,0.03,210030.0
7002,0.03,210060.0
7003,0.03,210090.0
7004,0.03,210120.0
7005,0.03,210150.0
7006,0.03,210180.0
7007,0.03,210210.0
7008,0.03,210240.0
7009,0.03,210270.0
7010,0.03,210300.0
7011,0.03,210330.0
7012,0.03,210360.0
7013,0.03,210390.0
7014,0.03,210420.0
7015,0.03,210450.0
7016,0.03,210480.0
7017,0.03,210510.0
7018,0.03,210540.0
7019,0.03,210570.0
7020,0.03,210600.0
7021,0.03,210630.0
7022,0.03,210660.0
7023,0.03,210690.0
7024,0.03,210720.0
7025,0.03,210750.0
7026,0.03,210780.0
7027,0.03,210810.0
7028,0.03,210840.0
7029,0.03,210870.0
7030,0.03,210900.0
7031,0.03,210930.0
7032,0.03,210960.0
7033,0.03,210990.0
7034,0.03,211020.0
7035,0.03,211050.0
7036,0.03,211080.0
7037,0.03,211110.0
7038,0.03,211140.0
7039,0.03,211170.0
7040,0.03,211200.0
7041,0.03,211230.0
7042,0.03,211260.0
7043,0.03,211290.0
7044,0.03,211320.0
7045,0.03,211350.0
7046,0.03,211380.0
7047,0.03,211410.0
7048,0.03,211440.0
7049,0.03,211470.0
7050,0.03,211500.0
7051,0.03,211530.0
7052,0.03,211560.0
7053,0.03,211590.0
7054,0.03,211620.0
7055,0.03,211650.0
7056,0.03,211680.0
7057,0.03,211710.0
7058,0.03,211740.0
7059,0.03,211770.0
7060,0.03,211800.0
7061,0.03,211830.0
7062,0.03,211860.0
7063,0.03,211890.0
7064,0.03,211920.0
7065,0.03,211950.0
7066,0.03,211980.0
7067,0.03,212010.0
7068,0.03,212040.0
7069,0.03,212070.0
7070,0.03,212100.0
7071,0.03,212130.0
7072,0.03,212160.0
7073,0.03,212190.0
7074,0.03,212220.0
7075,0.03,212250.0
7076,0.03,212280.0
7077,0.03,212310.0
7078,0.03,212340.0
7079,0.03,212370.0
7080,0.03,212400.0
7081,0.03,212430.0
7082,0.03,212460.0
7083,0.03,212490.0
7084,0.03,212520.0
7085,0.03,212550.0
7086,0.03,212580.0
7087,0.03,212610.0
7088,0.03,212640.0
7089,0.03,212670.0
7090,0.03,212700.0
7091,0.03,212730.0
7092,0.03,212760.0
7093,0.03,212790.0
7094,0.03,212820.0
7095,0.03,212850.0
7096,0.03,212880.0
7097,0.03,212910.0
7098,0.03,212940.0
7099,0.03,212970.0
7100,0.03,213000.0
7101,0.03,213030.0
7102,0.03,213060.0
7103,0.03,213090.0
7104,0.03,213120.0
7105,0.03,213150.0
7106,0.03,213180.0
7107,0.03,213210.0
7108,0.03,213240.0
7109,0.03,213270.0
7110,0.03,213300.0
7111,0.03,213330.0
7112,0.03,213360.0
7113,0.03,213390.0
7114,0.03,213420.0
7115,0.03,213450.0
7116,0.03,213480.0
7117,0.03,213510.0
7118,0.03,213540.0
7119,0.03,213570.0
7120,0.03,213600.0
7121,0.03,213630.0
7122,0.03,213660.0
7123,0.03,213690.0
7124,0.03,213720.0
7125,0.03,213750.0
7126,0.03,213780.0
7127,0.03,213810.0
7128,0.03,213840.0
7129,0.03,213870.0
7130,0.03,213900.0
7131,0.03,213930.0
7132,0.03,213960.0
7133,0.03,213990.0
7134,0.03,214020.0
7135,0.03,214050.0
7136,0.03,214080.0
7137,0.03,214110.0
7138,0.03,214140.0
7139,0.03,214170.0
7140,0.03,214200.0
7141,0.03,214230.0
7142,0.03,214260.0
7143,0.03,214290.0
7144,0.03,214320.0
7145,0.03,214350.0
7146,0.03,214380.0
7147,0.03,214410.0
7148,0.03,214440.0
7149,0.03,214470.0
7150,0.03,214500.0
7151,0.03,214530.0
7152,0.03,214560.0
7153,0.03,214590.0
7154,0.03,214620.0
7155,0.03,214650.0
7156,0.03,214680.0
7157,0.03,214710.0
7158,0.03,214740.0
7159,0.03,214770.0
7160,0.03,214800.0
7161,0.03,214830.0
7162,0.03,214860.0
7163,0.03,214890.0
7164,0.03,214920.0
7165,0.03,214950.0
7166,0.03,214980.0
7167,0.03,215010.0
7168,0.03,215040.0
7169,0.03,215070.0
7170,0.03,215100.0
7171,0.03,215130.0
7172,0.03,215160.0
7173,0.03,215190.0
7174,0.03,215220.0
7175,0.03,215250.0
7176,0.03,215280.0
7177,0.03,215310.0
7178,0.03,215340.0
7179,0.03,215370.0
7180,0.03,215400.0
7181,0.03,215430.0
7182,0.03,215460.0
7183,0.03,215490.0
7184,0.03,215520.0
7185,0.03,215550.0
7186,0.03,215580.0
7187,0.03,215610.0
7188,0.03,215640.0
7189,0.03,215670.0
7190,0.03,215700.0
7191,0.03,215730.0
7192,0.03,215760.0
7193,0.03,215790.0
7194,0.03,215820.0
7195,0.03,215850.0
7196,0.03,215880.0
7197,0.03,215910.0
7198,0.03,215940.0
7199,0.03,215970.0
7200,0.03,216000.0
7201,0.03,216030.0
7202,0.03,216060.0
7203,0.03,216090.0
7204,0.03,216120.0
7205,0.03,216150.0
7206,0.03,216180.0
7207,0.03,216210.0
7208,0.03,216240.0
7209,0.03,216270.0
7210,0.03,216300.0
7211,0.03,216330.0
7212,0.03,216360.0
7213,0.03,216390.0
7214,0.03,216420.0
7215,0.03,216450.0
7216,0.03,216480.0
7217,0.03,216510.0
7218,0.03,216540.0
7219,0.03,216570.0
7220,0.03,216600.0
7221,0.03,216630.0
7222,0.03,216660.0
7223,0.03,216690.0
7224,0.03,216720.0
7225,0.03,216750.0
7226,0.03,216780.0
7227,0.03,216810.0
7228,0.03,216840.0
7229,0.03,216870.0
7230,0.03,216900.0
7231,0.03,216930.0
7232,0.03,216960.0
7233,0.03,216990.0
7234,0.03,217020.0
7235,0.03,217050.0
7236,0.03,217080.0
7237,0.03,217110.0
7238,0.03,217140.0
7239,0.03,217170.0
7240,0.03,217200.0
7241,0.03,217230.0
7242,0.03,217260.0
7243,0.03,217290.0
7244,0.03,217320.0
7245,0.03,217350.0
7246,0.03,217380.0
7247,0.03,217410.0
